game_id,player_elo,legal_move_num,move_color,board_fen,player_move,maia_move_1100,stockfish_move,pikebot_heuristic_move,pikebot_move_800,pikebot_move_1100,pikebot_move_1500,pikebot_move_1900,pikebot_move_2200,pikebot_move_2600,pikebot_prob_800,pikebot_prob_1100,pikebot_prob_1500,pikebot_prob_1900,pikebot_prob_2200,pikebot_prob_2600,position_of_player_move_in_pikebot_800,position_of_player_move_in_pikebot_1100,position_of_player_move_in_pikebot_1500,position_of_player_move_in_pikebot_1900,position_of_player_move_in_pikebot_2200,position_of_player_move_in_pikebot_2600,player_move_in_top_3_pikebot,player_move_in_top_5_pikebot
100,1696,35,True,rnbqkb1r/ppp2ppp/8/3np3/2B5/3P4/PPP2PPP/RNBQK1NR w KQkq - 0 5,c4d5,d1f3,g1f3,d1f3,c4a6,c4a6,c1g5,c1g5,c1g5,c1g5,1.0,1.0,1.0,1.0,1.0,1.0,22,22,19,16,16,15,0,0
100,1696,32,True,rnb1kb1r/ppp2ppp/8/3qp3/8/3P4/PPP2PPP/RNBQK1NR w KQkq - 0 6,f2f3,g1f3,g1f3,g1f3,c1g5,c1g5,c1g5,c1g5,c1g5,c1g5,0.9999994,0.99999905,0.99999726,0.999995,0.99999106,0.9999777,15,12,11,11,9,10,0,0
100,1696,8,True,rnb1k2r/ppp2ppp/8/3qp3/1b6/3P1P2/PPP3PP/RNBQK1NR w KQkq - 1 7,c2c3,c2c3,b1c3,c2c3,b1c3,b1c3,b1c3,b1c3,b1c3,b1c3,0.7985352,0.8098985,0.82270026,0.8320008,0.8411296,0.85586756,6,6,6,6,6,6,0,0
100,1696,28,True,rnb1k2r/ppp2ppp/8/2bqp3/8/2PP1P2/PP4PP/RNBQK1NR w KQkq - 1 8,b2b4,c3c4,d3d4,d1e2,d1e2,d1e2,d1e2,d1e2,d1e2,d1e2,0.80797505,0.82271785,0.84000784,0.8519326,0.86135066,0.8679216,5,5,5,5,4,3,1,1
100,1696,30,True,rnb1k2r/ppp1bppp/8/3qp3/1P6/2PP1P2/P5PP/RNBQK1NR w KQkq - 1 9,c1b2,c3c4,g1e2,g1e2,g1e2,g1e2,g1e2,g1e2,g1e2,g1e2,0.79853064,0.8097768,0.82147694,0.8382789,0.846631,0.85937065,14,16,16,16,16,16,0,0
100,1696,26,True,rn2k2r/ppp1bppp/8/3qp3/1P4b1/2PP1P2/PB4PP/RN1QK1NR w KQkq - 3 10,c3c4,c3c4,c3c4,d1e2,g1e2,g1e2,g1e2,g1e2,g1e2,g1e2,0.83398074,0.8462767,0.8683514,0.88143945,0.89024425,0.9046678,16,16,17,17,17,17,0,0
100,1696,30,True,rn2k2r/ppp1bppp/4q3/4p3/1PP3b1/3P1P2/PB4PP/RN1QK1NR w KQkq - 1 11,f3g4,f3g4,f3g4,b1c3,f3g4,f3g4,f3g4,f3g4,f3g4,f3g4,0.9030169,0.91227055,0.9275314,0.94184124,0.94532555,0.95546454,1,1,1,1,1,1,1,1
100,1696,7,True,rn2k2r/ppp2ppp/4q3/4p3/1bP3P1/3P4/PB4PP/RN1QK1NR w KQkq - 0 12,b2c3,b1c3,b1c3,b1c3,b1c3,b1c3,b1c3,b1c3,b1c3,b1c3,0.8393962,0.85466063,0.8641401,0.8840386,0.89385927,0.9068348,2,2,2,2,2,2,1,1
100,1696,28,True,rn2k2r/ppp2ppp/4q3/2b1p3/2P3P1/2BP4/P5PP/RN1QK1NR w KQkq - 2 13,h2h3,g1f3,b1d2,d1e2,d1f3,d1f3,d1f3,d1f3,d1f3,d1f3,0.80602944,0.81528586,0.8273966,0.84970963,0.85916096,0.8820593,5,5,5,5,5,5,0,1
100,1696,27,True,rn3rk1/ppp2ppp/4q3/2b1p3/2P3P1/2BP3P/P5P1/RN1QK1NR w KQ - 1 14,g1f3,g1f3,b1d2,g1f3,d1f3,d1f3,d1f3,d1f3,d1f3,d1e2,0.8821856,0.8916143,0.89706343,0.9039538,0.91038185,0.9178664,9,8,8,8,8,8,0,0
